"","OTU","s.deep.water","s.marsh.water","s.deep.sed","s.marsh.sed","s.wet.soil","s.up.soil","index","stat","p.value","p.fdr","X","Size","Kingdom","Phylum","Class","Order","Family","Genus","size.sub","preferred"
"1","Otu006045",1,0,0,0,0,0,1,0.45557345160942,0.02,0.046,6042,144,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified",27,"Bacteria_unclassified"
"2","Otu001890",1,0,0,0,0,0,1,0.466036588189306,0.02,0.046,1890,692,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Cytophagaceae_unclassified",104,"Bacteroidetes"
"3","Otu007496",1,0,0,0,0,0,1,0.5,0.01,0.028,7492,104,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Chitinophagaceae_unclassified",16,"Bacteroidetes"
"4","Otu004980",1,0,0,0,0,0,1,0.408248290463863,0.01,0.028,4979,190,"Bacteria","Candidate_division_OD1","Candidate_division_OD1_unclassified","Candidate_division_OD1_unclassified","Candidate_division_OD1_unclassified","Candidate_division_OD1_unclassified",36,"Candidate_division_OD1"
"5","Otu001216",1,0,0,0,0,0,1,0.594732970776228,0.01,0.028,1216,1142,"Bacteria","Chlorobi","Chlorobia","Chlorobiales","OPB56","OPB56_unclassified",148,"Chlorobi"
"6","Otu000035",1,0,0,0,0,0,1,0.851608427246584,0.01,0.028,35,31481,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella",5935,"Gammaproteobacteria"
"7","Otu002269",1,0,0,0,0,0,1,0.562749693404665,0.01,0.028,2269,545,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiales_unclassified","Rickettsiales_unclassified",73,"Alphaproteobacteria"
"8","Otu002676",1,0,0,0,0,0,1,0.57282196186948,0.01,0.028,2676,436,"Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella",69,"Gammaproteobacteria"
"9","Otu004693",1,0,0,0,0,0,1,0.521640530957301,0.01,0.028,4692,205,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio",23,"Deltaproteobacteria"
"10","Otu005290",1,0,0,0,0,0,1,0.5671308728156,0.02,0.046,5289,174,"Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Leeia",28,"Betaproteobacteria"
"11","Otu006084",1,0,0,0,0,0,1,0.577350269189626,0.01,0.028,6081,143,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Rickettsia",23,"Alphaproteobacteria"
"12","Otu007931",1,0,0,0,0,0,1,0.408248290463863,0.02,0.046,7926,96,"Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified",19,"Alphaproteobacteria"
"13","Otu008202",1,0,0,0,0,0,1,0.408248290463863,0.02,0.046,8197,91,"Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","Aquicella",17,"Gammaproteobacteria"
"14","Otu009248",1,0,0,0,0,0,1,0.395284707521047,0.02,0.046,9242,75,"Bacteria","TM6","TM6_unclassified","TM6_unclassified","TM6_unclassified","TM6_unclassified",16,"TM6"
"15","Otu010473",1,0,0,0,0,0,1,0.480384461415261,0.01,0.028,10467,61,"Bacteria","TM6","TM6_unclassified","TM6_unclassified","TM6_unclassified","TM6_unclassified",13,"TM6"
"16","Otu002235",0,1,0,0,0,0,2,0.682381610454625,0.01,0.028,2235,554,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified",107,"Bacteria_unclassified"
"17","Otu003908",0,1,0,0,0,0,2,0.645285298517363,0.01,0.028,3907,266,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified",62,"Bacteria_unclassified"
"18","Otu000511",0,1,0,0,0,0,2,0.853563698818029,0.01,0.028,511,2817,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Arcicella",661,"Bacteroidetes"
"19","Otu002514",0,1,0,0,0,0,2,0.574287381432557,0.01,0.028,2514,474,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Paludibacter",35,"Bacteroidetes"
"20","Otu004378",0,1,0,0,0,0,2,0.556037898454338,0.01,0.028,4377,227,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma",84,"Bacteroidetes"
"21","Otu009985",0,1,0,0,0,0,2,0.408248290463863,0.02,0.046,9979,67,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",23,"Bacteroidetes"
"22","Otu000683",0,1,0,0,0,0,2,0.830733392180409,0.01,0.028,683,2126,"Bacteria","Candidate_division_OD1","Candidate_division_OD1_unclassified","Candidate_division_OD1_unclassified","Candidate_division_OD1_unclassified","Candidate_division_OD1_unclassified",264,"Candidate_division_OD1"
"23","Otu006345",0,1,0,0,0,0,2,0.5,0.01,0.028,6342,134,"Bacteria","Candidate_division_OD1","Candidate_division_OD1_unclassified","Candidate_division_OD1_unclassified","Candidate_division_OD1_unclassified","Candidate_division_OD1_unclassified",26,"Candidate_division_OD1"
"24","Otu008036",0,1,0,0,0,0,2,0.493710441453287,0.02,0.046,8031,94,"Bacteria","Candidate_division_OD1","Candidate_division_OD1_unclassified","Candidate_division_OD1_unclassified","Candidate_division_OD1_unclassified","Candidate_division_OD1_unclassified",42,"Candidate_division_OD1"
"25","Otu008148",0,1,0,0,0,0,2,0.5,0.02,0.046,8143,92,"Bacteria","Candidate_division_OD1","Candidate_division_OD1_unclassified","Candidate_division_OD1_unclassified","Candidate_division_OD1_unclassified","Candidate_division_OD1_unclassified",14,"Candidate_division_OD1"
"26","Otu001757",0,1,0,0,0,0,2,0.675675111829258,0.01,0.028,1757,765,"Bacteria","Candidate_division_SR1","Candidate_division_SR1_unclassified","Candidate_division_SR1_unclassified","Candidate_division_SR1_unclassified","Candidate_division_SR1_unclassified",110,"Candidate_division_SR1"
"27","Otu006486",0,1,0,0,0,0,2,0.554700196225229,0.01,0.028,6482,130,"Bacteria","Candidate_division_SR1","Candidate_division_SR1_unclassified","Candidate_division_SR1_unclassified","Candidate_division_SR1_unclassified","Candidate_division_SR1_unclassified",33,"Candidate_division_SR1"
"28","Otu011611",0,1,0,0,0,0,2,0.522936691360934,0.02,0.046,11600,52,"Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","Phycisphaera",16,"Planctomycetes"
"29","Otu002920",0,1,0,0,0,0,2,0.408248290463863,0.02,0.046,2920,392,"Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Arcobacter",82,"Epsilonproteobacteria"
"30","Otu004844",0,1,0,0,0,0,2,0.44729792230312,0.01,0.028,4843,196,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",33,"Alphaproteobacteria"
"31","Otu004931",0,1,0,0,0,0,2,0.611875984511072,0.01,0.028,4930,193,"Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","FukuN18_freshwater_group","FukuN18_freshwater_group_unclassified",47,"Verrucomicrobia"
"32","Otu001881",0,0,1,0,0,0,3,0.753659756627496,0.01,0.028,1881,695,"Bacteria","Acidobacteria","Holophagae","Holophagales","Holophagaceae","Holophagaceae_unclassified",136,"Acidobacteria"
"33","Otu002061",0,0,1,0,0,0,3,0.725233787855615,0.01,0.028,2061,617,"Bacteria","Acidobacteria","Holophagae","Holophagales","Holophagaceae","Holophagaceae_unclassified",103,"Acidobacteria"
"34","Otu004429",0,0,1,0,0,0,3,0.739468222097796,0.01,0.028,4428,223,"Bacteria","Acidobacteria","Acidobacteria","Subgroup_6","Subgroup_6_unclassified","Subgroup_6_unclassified",66,"Acidobacteria"
"35","Otu002310",0,0,1,0,0,0,3,0.657507806114389,0.01,0.028,2310,533,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Coriobacteriaceae_unclassified",121,"Actinobacteria"
"36","Otu003496",0,0,1,0,0,0,3,0.681742496068773,0.01,0.028,3496,308,"Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellales_unclassified","Gaiellales_unclassified",63,"Actinobacteria"
