,OTU,Size,Kingdom,Phylum,Class,Order,Family,Genus,size.sub,preferred
10,Otu000010,79956,Bacteria,Acidobacteria,Acidobacteria,Subgroup_6,Subgroup_6_unclassified,Subgroup_6_unclassified,13558,Acidobacteria
28,Otu000028,37045,Bacteria,Acidobacteria,Acidobacteria,Subgroup_6,Subgroup_6_unclassified,Subgroup_6_unclassified,6008,Acidobacteria
60,Otu000060,19035,Bacteria,Acidobacteria,Acidobacteria,Subgroup_2,Subgroup_2_unclassified,Subgroup_2_unclassified,2583,Acidobacteria
63,Otu000063,17995,Bacteria,Acidobacteria,Acidobacteria,Subgroup_4,RB41,RB41_unclassified,3587,Acidobacteria
66,Otu000066,17180,Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae_,Acidobacteriaceae_,2813,Acidobacteria
81,Otu000081,14145,Bacteria,Acidobacteria,Acidobacteria,Subgroup_6,Subgroup_6_unclassified,Subgroup_6_unclassified,2752,Acidobacteria
98,Otu000098,12590,Bacteria,Acidobacteria,Acidobacteria,Subgroup_6,Subgroup_6_unclassified,Subgroup_6_unclassified,2368,Acidobacteria
99,Otu000099,12529,Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae_,Acidobacteriaceae_,1214,Acidobacteria
113,Otu000113,11303,Bacteria,Acidobacteria,Acidobacteria,Subgroup_6,Subgroup_6_unclassified,Subgroup_6_unclassified,1830,Acidobacteria
124,Otu000124,10179,Bacteria,Acidobacteria,Acidobacteria,Subgroup_3,Unknown_Family,Candidatus_Solibacter,1518,Acidobacteria
140,Otu000140,9199,Bacteria,Acidobacteria,Acidobacteria,Subgroup_3,Unknown_Family,Candidatus_Solibacter,1367,Acidobacteria
145,Otu000145,8921,Bacteria,Acidobacteria,Acidobacteria,Subgroup_2,Subgroup_2_unclassified,Subgroup_2_unclassified,1491,Acidobacteria
166,Otu000166,7981,Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae_,Acidobacteriaceae_,1015,Acidobacteria
171,Otu000171,7745,Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae_,Acidobacteriaceae_,1189,Acidobacteria
172,Otu000172,7744,Bacteria,Acidobacteria,Acidobacteria,Subgroup_6,Subgroup_6_unclassified,Subgroup_6_unclassified,1449,Acidobacteria
176,Otu000176,7532,Bacteria,Acidobacteria,Acidobacteria,Subgroup_2,Subgroup_2_unclassified,Subgroup_2_unclassified,1449,Acidobacteria
181,Otu000181,7459,Bacteria,Acidobacteria,Acidobacteria,Subgroup_2,Subgroup_2_unclassified,Subgroup_2_unclassified,744,Acidobacteria
185,Otu000185,7352,Bacteria,Acidobacteria,Acidobacteria,Subgroup_21,Subgroup_21_unclassified,Subgroup_21_unclassified,295,Acidobacteria
187,Otu000187,7258,Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae_,Acidobacteriaceae_,1118,Acidobacteria
188,Otu000188,7212,Bacteria,Acidobacteria,Holophagae,Subgroup_7,Subgroup_7_unclassified,Subgroup_7_unclassified,1174,Acidobacteria
192,Otu000192,7066,Bacteria,Acidobacteria,Acidobacteria,Subgroup_6,Subgroup_6_unclassified,Subgroup_6_unclassified,1650,Acidobacteria
214,Otu000214,6450,Bacteria,Acidobacteria,Acidobacteria,Subgroup_6,Subgroup_6_unclassified,Subgroup_6_unclassified,1205,Acidobacteria
216,Otu000216,6426,Bacteria,Acidobacteria,Acidobacteria,Subgroup_6,Subgroup_6_unclassified,Subgroup_6_unclassified,1211,Acidobacteria
225,Otu000225,6171,Bacteria,Acidobacteria,Acidobacteria,Subgroup_3,Unknown_Family,Bryobacter,1053,Acidobacteria
235,Otu000235,6017,Bacteria,Acidobacteria,Acidobacteria,Subgroup_17,Subgroup_17_unclassified,Subgroup_17_unclassified,1388,Acidobacteria
238,Otu000238,5990,Bacteria,Acidobacteria,Holophagae,Subgroup_10,ABS-19,ABS-19_unclassified,657,Acidobacteria
241,Otu000241,5971,Bacteria,Acidobacteria,Acidobacteria,Subgroup_3,Unknown_Family,Bryobacter,732,Acidobacteria
242,Otu000242,5945,Bacteria,Acidobacteria,Acidobacteria,Subgroup_6,Subgroup_6_unclassified,Subgroup_6_unclassified,1140,Acidobacteria
251,Otu000251,5698,Bacteria,Acidobacteria,Acidobacteria,Subgroup_4,RB41,RB41_unclassified,1136,Acidobacteria
255,Otu000255,5622,Bacteria,Acidobacteria,Acidobacteria,Subgroup_3,Unknown_Family,Bryobacter,730,Acidobacteria
258,Otu000258,5592,Bacteria,Acidobacteria,Acidobacteria,Subgroup_6,Subgroup_6_unclassified,Subgroup_6_unclassified,1020,Acidobacteria
267,Otu000267,5389,Bacteria,Acidobacteria,Acidobacteria,Subgroup_6,Subgroup_6_unclassified,Subgroup_6_unclassified,1101,Acidobacteria
285,Otu000285,4991,Bacteria,Acidobacteria,Acidobacteria,Subgroup_6,Subgroup_6_unclassified,Subgroup_6_unclassified,977,Acidobacteria
312,Otu000312,4662,Bacteria,Acidobacteria,Acidobacteria,Subgroup_6,Subgroup_6_unclassified,Subgroup_6_unclassified,840,Acidobacteria
318,Otu000318,4588,Bacteria,Acidobacteria,Acidobacteria,Subgroup_2,Subgroup_2_unclassified,Subgroup_2_unclassified,712,Acidobacteria
337,Otu000337,4311,Bacteria,Acidobacteria,Acidobacteria,Subgroup_6,Subgroup_6_unclassified,Subgroup_6_unclassified,752,Acidobacteria
347,Otu000347,4154,Bacteria,Acidobacteria,Acidobacteria,Subgroup_3,Unknown_Family,Candidatus_Solibacter,648,Acidobacteria
385,Otu000385,3799,Bacteria,Acidobacteria,Acidobacteria,Subgroup_2,Subgroup_2_unclassified,Subgroup_2_unclassified,270,Acidobacteria
391,Otu000391,3773,Bacteria,Acidobacteria,Acidobacteria,Subgroup_6,Subgroup_6_unclassified,Subgroup_6_unclassified,790,Acidobacteria
398,Otu000398,3700,Bacteria,Acidobacteria,Acidobacteria,Subgroup_17,Subgroup_17_unclassified,Subgroup_17_unclassified,599,Acidobacteria
402,Otu000402,3663,Bacteria,Acidobacteria,Holophagae,Subgroup_7,Subgroup_7_unclassified,Subgroup_7_unclassified,585,Acidobacteria
406,Otu000406,3642,Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae_,Acidobacteriaceae_,502,Acidobacteria
408,Otu000408,3635,Bacteria,Acidobacteria,Acidobacteria,Subgroup_3,Unknown_Family,Bryobacter,763,Acidobacteria
409,Otu000409,3634,Bacteria,Acidobacteria,Acidobacteria,Subgroup_4,Unknown_Family,Blastocatella,648,Acidobacteria
410,Otu000410,3610,Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae_,Granulicella,689,Acidobacteria
414,Otu000414,3583,Bacteria,Acidobacteria,Acidobacteria,Subgroup_4,Unknown_Family,Blastocatella,668,Acidobacteria
416,Otu000416,3564,Bacteria,Acidobacteria,Acidobacteria,Subgroup_17,Subgroup_17_unclassified,Subgroup_17_unclassified,591,Acidobacteria
420,Otu000420,3533,Bacteria,Acidobacteria,Acidobacteria,Subgroup_4,RB41,RB41_unclassified,403,Acidobacteria
424,Otu000424,3493,Bacteria,Acidobacteria,Acidobacteria,Subgroup_3,Unknown_Family,Candidatus_Solibacter,546,Acidobacteria
429,Otu000429,3461,Bacteria,Acidobacteria,Acidobacteria,Subgroup_17,Subgroup_17_unclassified,Subgroup_17_unclassified,582,Acidobacteria
435,Otu000435,3427,Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae_,Acidobacterium,655,Acidobacteria
442,Otu000442,3305,Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,Geothrix,679,Acidobacteria
467,Otu000467,3079,Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae_,Acidobacteriaceae_,539,Acidobacteria
473,Otu000473,3054,Bacteria,Acidobacteria,Acidobacteria,Subgroup_3,Unknown_Family,Bryobacter,366,Acidobacteria
475,Otu000475,3037,Bacteria,Acidobacteria,Acidobacteria,Subgroup_6,Subgroup_6_unclassified,Subgroup_6_unclassified,189,Acidobacteria
490,Otu000490,2952,Bacteria,Acidobacteria,Acidobacteria,Subgroup_6,Subgroup_6_unclassified,Subgroup_6_unclassified,783,Acidobacteria
491,Otu000491,2946,Bacteria,Acidobacteria,Acidobacteria,Subgroup_3,Unknown_Family,Bryobacter,378,Acidobacteria
499,Otu000499,2896,Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae_,Acidobacteriaceae_,364,Acidobacteria
501,Otu000501,2892,Bacteria,Acidobacteria,Acidobacteria,Subgroup_6,Subgroup_6_unclassified,Subgroup_6_unclassified,650,Acidobacteria
508,Otu000508,2842,Bacteria,Acidobacteria,Acidobacteria,Subgroup_6,Subgroup_6_unclassified,Subgroup_6_unclassified,472,Acidobacteria
522,Otu000522,2748,Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae_,Candidatus_Koribacter,647,Acidobacteria
532,Otu000532,2694,Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae_,Acidobacterium,714,Acidobacteria
536,Otu000536,2658,Bacteria,Acidobacteria,Acidobacteria,Subgroup_6,Subgroup_6_unclassified,Subgroup_6_unclassified,307,Acidobacteria
538,Otu000538,2647,Bacteria,Acidobacteria,Acidobacteria,Subgroup_3,Unknown_Family,Bryobacter,357,Acidobacteria
553,Otu000553,2557,Bacteria,Acidobacteria,Acidobacteria,Subgroup_4,24-Nov,11-24_unclassified,401,Acidobacteria
554,Otu000554,2556,Bacteria,Acidobacteria,Acidobacteria,Subgroup_3,Unknown_Family,Candidatus_Solibacter,286,Acidobacteria
555,Otu000555,2554,Bacteria,Acidobacteria,Holophagae,Subgroup_10,ABS-19,ABS-19_unclassified,174,Acidobacteria
558,Otu000558,2543,Bacteria,Acidobacteria,Acidobacteria,Subgroup_2,Subgroup_2_unclassified,Subgroup_2_unclassified,463,Acidobacteria
562,Otu000562,2532,Bacteria,Acidobacteria,Acidobacteria,Subgroup_3,Unknown_Family,Bryobacter,259,Acidobacteria
568,Otu000568,2511,Bacteria,Acidobacteria,Acidobacteria,Subgroup_6,Subgroup_6_unclassified,Subgroup_6_unclassified,596,Acidobacteria
571,Otu000571,2502,Bacteria,Acidobacteria,Acidobacteria,Subgroup_6,Subgroup_6_unclassified,Subgroup_6_unclassified,474,Acidobacteria
575,Otu000575,2482,Bacteria,Acidobacteria,Acidobacteria,Subgroup_6,Subgroup_6_unclassified,Subgroup_6_unclassified,714,Acidobacteria
582,Otu000582,2455,Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae_,Granulicella,364,Acidobacteria
591,Otu000591,2422,Bacteria,Acidobacteria,Acidobacteria,Subgroup_17,Subgroup_17_unclassified,Subgroup_17_unclassified,556,Acidobacteria
603,Otu000603,2384,Bacteria,Acidobacteria,Acidobacteria,Subgroup_3,Unknown_Family,Candidatus_Solibacter,355,Acidobacteria
622,Otu000622,2321,Bacteria,Acidobacteria,Acidobacteria,Subgroup_2,Subgroup_2_unclassified,Subgroup_2_unclassified,345,Acidobacteria
639,Otu000639,2255,Bacteria,Acidobacteria,Acidobacteria,Subgroup_4,RB41,RB41_unclassified,383,Acidobacteria
657,Otu000657,2211,Bacteria,Acidobacteria,Acidobacteria,Subgroup_6,Subgroup_6_unclassified,Subgroup_6_unclassified,487,Acidobacteria
669,Otu000669,2174,Bacteria,Acidobacteria,Acidobacteria,Subgroup_6,Subgroup_6_unclassified,Subgroup_6_unclassified,342,Acidobacteria
678,Otu000678,2129,Bacteria,Acidobacteria,Holophagae,Subgroup_10,ABS-19,ABS-19_unclassified,340,Acidobacteria
680,Otu000680,2127,Bacteria,Acidobacteria,Acidobacteria,Subgroup_4,24-Nov,11-24_unclassified,377,Acidobacteria
681,Otu000681,2127,Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae_,Granulicella,284,Acidobacteria
698,Otu000698,2097,Bacteria,Acidobacteria,Acidobacteria,Subgroup_4,RB41,RB41_unclassified,349,Acidobacteria
736,Otu000736,1985,Bacteria,Acidobacteria,Acidobacteria,Subgroup_2,Subgroup_2_unclassified,Subgroup_2_unclassified,360,Acidobacteria
739,Otu000739,1977,Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae_,Candidatus_Koribacter,376,Acidobacteria
743,Otu000743,1969,Bacteria,Acidobacteria,Acidobacteria,Subgroup_4,Unknown_Family,Blastocatella,333,Acidobacteria
758,Otu000758,1925,Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae_,Acidobacteriaceae_,293,Acidobacteria
781,Otu000781,1865,Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae_,Acidobacteriaceae_,374,Acidobacteria
795,Otu000795,1845,Bacteria,Acidobacteria,Acidobacteria,Subgroup_2,Subgroup_2_unclassified,Subgroup_2_unclassified,242,Acidobacteria
798,Otu000798,1840,Bacteria,Acidobacteria,Acidobacteria,Subgroup_3,Unknown_Family,Bryobacter,230,Acidobacteria
802,Otu000802,1834,Bacteria,Acidobacteria,Acidobacteria,Subgroup_3,Unknown_Family,Candidatus_Solibacter,211,Acidobacteria
823,Otu000823,1774,Bacteria,Acidobacteria,Acidobacteria,Subgroup_6,Subgroup_6_unclassified,Subgroup_6_unclassified,353,Acidobacteria
835,Otu000835,1737,Bacteria,Acidobacteria,Acidobacteria,Subgroup_6,Subgroup_6_unclassified,Subgroup_6_unclassified,278,Acidobacteria
836,Otu000836,1726,Bacteria,Acidobacteria,Acidobacteria,Subgroup_2,Subgroup_2_unclassified,Subgroup_2_unclassified,171,Acidobacteria
839,Otu000839,1722,Bacteria,Acidobacteria,Acidobacteria,Subgroup_3,SJA-149,SJA-149_unclassified,273,Acidobacteria
